iter	Passed	Remaining
0	149	149210
1	151	75757
2	154	51232
3	156	38970
4	159	31835
5	171	28353
6	174	24728
7	178	22095
8	180	19904
9	183	18201
10	189	17015
11	191	15795
12	194	14765
13	196	13854
14	202	13265
15	204	12594
16	207	11990
17	209	11443
18	211	10945
19	216	10592
20	218	10206
21	221	9834
22	223	9496
23	225	9187
24	228	8899
25	231	8662
26	233	8420
27	235	8188
28	238	7978
29	240	7787
30	245	7662
31	247	7486
32	249	7318
33	252	7163
34	254	7014
35	260	6964
36	262	6840
37	265	6717
38	267	6595
39	270	6482
40	273	6400
41	276	6303
42	278	6199
43	281	6110
44	283	6012
45	288	5972
46	290	5889
47	292	5809
48	295	5732
49	297	5657
50	302	5628
51	304	5557
52	307	5493
53	309	5425
54	312	5360
55	315	5311
56	317	5258
57	320	5201
58	322	5149
59	325	5093
60	327	5041
61	332	5035
62	335	4986
63	337	4934
64	339	4883
65	342	4841
66	345	4805
67	348	4772
68	350	4729
69	353	4693
70	355	4650
71	357	4611
72	361	4596
73	364	4564
74	367	4527
75	369	4495
76	372	4461
77	377	4458
78	379	4428
79	382	4399
80	385	4371
81	387	4341
82	391	4321
83	393	4295
84	396	4269
85	399	4248
86	402	4221
87	408	4232
88	412	4219
89	415	4201
90	418	4175
91	421	4158
92	423	4132
93	426	4108
94	428	4085
95	434	4095
96	437	4074
97	440	4052
98	442	4031
99	446	4014
100	451	4020
101	454	4000
102	457	3983
103	460	3963
104	465	3970
105	468	3951
106	471	3931
107	473	3913
108	478	3910
109	481	3894
110	483	3875
111	486	3855
112	488	3834
113	490	3815
114	494	3808
115	497	3788
116	501	3788
117	509	3805
118	513	3800
119	516	3788
120	519	3772
121	523	3770
122	527	3759
123	530	3746
124	533	3731
125	536	3720
126	539	3708
127	542	3696
128	545	3684
129	548	3669
130	554	3676
131	558	3675
132	561	3663
133	564	3649
134	569	3651
135	572	3638
136	575	3623
137	577	3609
138	581	3599
139	584	3587
140	586	3574
141	588	3555
142	590	3541
143	593	3527
144	597	3525
145	600	3512
146	602	3498
147	605	3483
148	607	3468
149	611	3464
150	614	3454
151	617	3442
152	619	3431
153	622	3418
154	625	3408
155	628	3401
156	631	3391
157	634	3380
158	637	3369
159	642	3372
160	644	3357
161	647	3347
162	649	3335
163	652	3325
164	657	3327
165	660	3318
